,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,clusters,cluster
1213,Puerta 7,SHOW,2020,TV-MA,41,"['thriller', 'crime', 'drama']",Argentina,1,tt9170386,5.6,542,0,light pink
1214,Huge in France,SHOW,2019,TV-MA,30,['comedy'],France,1,tt8009602,6.8,2809,0,light pink
1215,Room 2806: The Accusation,SHOW,2020,TV-MA,49,"['documentation', 'crime']",France,1,tt13540900,7,2298,0,light pink
1216,Bolívar: Una lucha admirable,SHOW,2019,TV-MA,52,"['romance', 'action', 'drama']",Colombia,1,tt9327242,7.3,743,0,light pink
1217,Nowhere Man,SHOW,2019,TV-MA,56,"['crime', 'drama', 'thriller', 'action']",Taiwan (Province of China),1,tt10895588,5.6,360,0,light pink
1218,Monzón: A Knockout Blow,SHOW,2019,TV-MA,45,"['crime', 'drama', 'history', 'sport']",Argentina,1,tt9852660,7.9,717,0,light pink
1219,Felipe Esparza: Bad Decisions,SHOW,2020,TV-MA,62,['comedy'],United States of America (the),1,tt12875768,5.4,166,0,light pink
1220,Crime Diaries: The Candidate,SHOW,2019,TV-MA,37,"['war', 'crime', 'drama', 'thriller']",Mexico,1,tt9327348,7.5,803,0,light pink
1221,Best Leftovers Ever!,SHOW,2020,TV-G,36,['reality'],United States of America (the),1,tt13563634,5.6,515,0,light pink
1222,Betaal,SHOW,2020,TV-MA,47,"['action', 'horror', 'thriller']",India,1,tt10651790,5.4,8884,0,light pink
1223,Dating Around,SHOW,2019,,30,"['reality', 'romance']",United States of America (the),2,tt9654080,6.3,1204,0,light pink
1224,"Good Morning, Verônica",SHOW,2020,TV-MA,45,"['drama', 'thriller', 'crime']",Brazil,1,tt12987918,7.6,3552,0,light pink
1225,Mismatched,SHOW,2020,TV-MA,32,"['comedy', 'drama', 'romance']",India,1,tt12719250,5.5,3712,0,light pink
1226,Rilakkuma and Kaoru,SHOW,2019,TV-PG,12,"['comedy', 'drama', 'family', 'animation']",Japan,1,tt9348716,8.3,1579,0,light pink
1227,Hello Ninja,SHOW,2019,TV-Y,13,"['animation', 'action', 'comedy', 'family', 'fantasy']",Canada,4,tt10687170,6.7,119,0,light pink
1228,Stay Tuned!,SHOW,2019,TV-14,46,['comedy'],Japan,1,tt10088086,7.5,343,0,light pink
1229,Say I Do,SHOW,2020,TV-14,55,['reality'],United Kingdom of Great Britain and Northern Ireland (the),1,tt12540060,7.7,527,0,light pink
1230,Sintonia,SHOW,2019,TV-MA,44,"['crime', 'drama', 'music']",Brazil,2,tt8165086,6.7,1067,0,light pink
1231,The Writer,SHOW,2019,TV-14,34,"['drama', 'crime']",Lebanon,1,tt10312958,8.2,30,0,light pink
1232,Bread Barbershop,SHOW,2020,TV-Y,11,['animation'],Korea (the Republic of),2,tt12912830,7.3,125,0,light pink
1233,The Queen and the Conqueror,SHOW,2020,TV-14,46,"['history', 'drama']",Colombia,1,tt10348700,6.6,172,0,light pink
1234,Skin Decision: Before and After,SHOW,2020,TV-MA,36,['reality'],United States of America (the),1,tt12588326,5.8,405,0,light pink
1235,The Fabulous Lives of Bollywood Wives,SHOW,2020,TV-MA,32,"['reality', 'documentation', 'romance']",India,1,tt13452100,5.3,9666,0,light pink
1236,El Final del Paraíso,SHOW,2019,TV-MA,50,"['action', 'drama']",Mexico,1,tt10367818,5.1,208,0,light pink
1237,Typewriter,SHOW,2019,TV-MA,50,"['thriller', 'horror', 'drama']",India,1,tt9310372,6.5,3788,0,light pink
1238,How To Ruin Christmas,SHOW,2020,TV-MA,50,"['drama', 'comedy']",South Africa,2,tt13492362,6.1,488,0,light pink
1239,Trigger Warning with Killer Mike,SHOW,2019,TV-MA,26,"['documentation', 'comedy']",United States of America (the),1,tt9426194,6.9,1249,0,light pink
1240,Masaba Masaba,SHOW,2020,TV-MA,31,"['comedy', 'drama']",India,2,tt10655506,6.8,1746,0,light pink
1241,Until Dawn,SHOW,2020,,20,"['reality', 'comedy']",France,1,tt11434862,2.5,148,0,light pink
1242,"Los Briceño, una familia todo terreno",SHOW,2019,,46,['drama'],United States of America (the),2,tt10348478,8,133,0,light pink
1243,Astronomy Club: The Sketch Show,SHOW,2019,TV-MA,20,['comedy'],United States of America (the),1,tt10675488,6.9,591,0,light pink
1244,Styling Hollywood,SHOW,2019,TV-14,37,['reality'],United States of America (the),1,tt10715202,6.6,355,0,light pink
1245,Narcoworld: Dope Stories,SHOW,2019,TV-MA,40,"['crime', 'documentation']",United States of America (the),1,tt11215112,6.6,317,0,light pink
1246,Sugar Rush Christmas,SHOW,2019,TV-PG,50,['reality'],United States of America (the),2,tt11168116,6.8,578,0,light pink
1247,Queer Eye: We're in Japan!,SHOW,2019,TV-14,50,['reality'],United States of America (the),1,tt10971532,8.2,2560,0,light pink
